job_role,avg_salary,min_salary,max_salary,count
Machine Learning Engineer,3260582.9024261604,1725000.0,7774626.0,948
Data Engineer,3191884.688540973,1495000.0,7218598.0,1501
Data Scientist,3050659.1942758025,1380000.0,6673024.0,1153
Analytics Engineer,2148157.566666667,1100000.0,4856256.5,480
Other,1760774.7340902719,600000.0,5441466.5,3567
Business Analyst,1726498.8438789546,700000.0,3512549.0,727
BI Analyst,1454616.9628770303,800000.0,4154619.0,431
Data Analyst,1356753.4111785095,600000.0,3321283.0,1154
